chunk_id,km_start,km_end,A,B,C,RPS,queue
chunk_12,20.0,21.0,1.0,0.502,1.0,1.6016,RED
chunk_06,14.0,15.0,1.0,0.445,1.0,1.556,RED
chunk_09,17.0,18.0,1.0,0.423,1.0,1.5384,RED
chunk_11,19.0,20.0,1.0,0.399,1.0,1.5192,RED
chunk_07,15.0,16.0,1.0,0.372,1.0,1.4976,RED
chunk_08,16.0,17.0,1.0,0.453,0.8306,1.4301,RED
chunk_00,8.0,9.0,1.0,0.272,1.0,1.4176,RED
chunk_01,9.0,10.0,1.0,0.261,1.0,1.4088,RED
chunk_13,21.0,22.0,1.0,0.347,0.856,1.3712,RED
chunk_10,18.0,19.0,1.0,0.206,0.8581,1.2679,RED
chunk_04,12.0,13.0,1.0,0.095,0.7228,1.0991,RED
chunk_05,13.0,14.0,1.0,0.183,0.3459,0.906,RED
chunk_02,10.0,11.0,1.0,0.121,0.3112,0.8502,RED
chunk_03,11.0,12.0,1.0,0.054,0.2342,0.7672,RED
