chunk_id,km_start,km_end,A,B,C,RPS,queue
chunk_m11,19.0,20.0,0.811,0.214,0.9395,1.1098,RED
chunk_m12,20.0,21.0,0.827,0.158,0.961,1.097,RED
chunk_m08,16.0,17.0,0.738,0.107,0.9457,0.9448,RED
chunk_m13,21.0,22.0,0.603,0.22,1.0,0.8996,RED
chunk_m10,18.0,19.0,0.519,0.204,1.0,0.786,RED
chunk_m03,11.0,12.0,0.444,0.028,0.9556,0.5429,YELLOW
chunk_m09,17.0,18.0,0.307,0.154,1.0,0.4916,YELLOW
chunk_m07,15.0,16.0,0.406,0.016,0.9476,0.4869,YELLOW
chunk_m06,14.0,15.0,0.379,0.045,0.9494,0.4784,YELLOW
chunk_m05,13.0,14.0,0.279,0.121,0.951,0.421,YELLOW
chunk_m00,8.0,9.0,0.2428,0.1003,0.9625,0.3647,GREEN
chunk_m01,9.0,10.0,0.265,0.044,1.0,0.3532,GREEN
chunk_m02,10.0,11.0,0.16,0.171,0.9575,0.3218,GREEN
chunk_m04,12.0,13.0,0.159,0.095,0.9525,0.2605,GREEN
