chunk_id,km_start,km_end,A,B,C,RPS,queue
chunk_08,37.0,38.0,0.411,0.403,1.0,0.8156,RED
chunk_01,30.0,31.0,0.309,0.466,1.0,0.7436,YELLOW
chunk_03,32.0,33.0,0.295,0.484,1.0,0.7412,YELLOW
chunk_07,36.0,37.0,0.54,0.329,0.6125,0.7346,YELLOW
chunk_04,33.0,34.0,0.221,0.551,1.0,0.706,YELLOW
chunk_02,31.0,32.0,0.28,0.382,1.0,0.6416,YELLOW
chunk_00,29.0,30.0,0.445,0.148,0.488,0.4854,YELLOW
chunk_09,38.0,39.0,0.18,0.277,1.0,0.4376,YELLOW
chunk_10,39.0,40.0,0.175,0.274,0.886,0.4047,YELLOW
chunk_05,34.0,35.0,0.177,0.328,0.5324,0.3638,GREEN
chunk_06,35.0,36.0,0.1,0.195,0.2685,0.1751,GREEN
chunk_11,40.0,41.0,0.069,0.087,0.2582,0.0959,GREEN
